Test Num,Test Type,mit_set_found,Mit_Pot_sets_found,Attacker_sets_found,attacked_set_num,Attacker_Samples_Found_for_this_set, num of wrong bits
1,Noisification on before Attack Search,8192,219,8139,1,1,-1
1,Noisification on before Attack Search,8192,219,8139,1,1,-1
1,Noisification on before Attack Search,8192,219,8139,1,0,-1
1,Noisification on before Attack Search,8192,219,8139,1,1,-1
1,Noisification on before Attack Search,8192,219,8139,1,0,-1
1,Noisification on before Attack Search,8192,219,8139,2,1,-1
1,Noisification on before Attack Search,8192,219,8139,2,0,-1
1,Noisification on before Attack Search,8192,219,8139,2,1,-1
1,Noisification on before Attack Search,8192,219,8139,2,1,-1
1,Noisification on before Attack Search,8192,219,8139,2,1,-1
1,Noisification on before Attack Search,8192,219,8139,3,0,-1
1,Noisification on before Attack Search,8192,219,8139,3,1,-1
1,Noisification on before Attack Search,8192,219,8139,3,1,-1
1,Noisification on before Attack Search,8192,219,8139,3,1,-1
1,Noisification on before Attack Search,8192,219,8139,3,0,-1
1,Noisification on before Attack Search,8192,219,8139,4,1,-1
1,Noisification on before Attack Search,8192,219,8139,4,1,-1
1,Noisification on before Attack Search,8192,219,8139,4,1,-1
1,Noisification on before Attack Search,8192,219,8139,4,0,-1
1,Noisification on before Attack Search,8192,219,8139,4,1,-1
1,Noisification on before Attack Search,8192,219,8139,5,1,-1
1,Noisification on before Attack Search,8192,219,8139,5,0,-1
1,Noisification on before Attack Search,8192,219,8139,5,0,-1
1,Noisification on before Attack Search,8192,219,8139,5,1,-1
1,Noisification on before Attack Search,8192,219,8139,5,0,-1
2,Noisification on before Attack Search,8191,224,8161,1,1,-1
2,Noisification on before Attack Search,8191,224,8161,1,0,-1
2,Noisification on before Attack Search,8191,224,8161,1,1,-1
2,Noisification on before Attack Search,8191,224,8161,1,1,-1
2,Noisification on before Attack Search,8191,224,8161,1,1,-1
2,Noisification on before Attack Search,8191,224,8161,2,0,-1
2,Noisification on before Attack Search,8191,224,8161,2,0,-1
2,Noisification on before Attack Search,8191,224,8161,2,1,-1
2,Noisification on before Attack Search,8191,224,8161,2,0,-1
2,Noisification on before Attack Search,8191,224,8161,2,1,-1
2,Noisification on before Attack Search,8191,224,8161,3,1,-1
2,Noisification on before Attack Search,8191,224,8161,3,0,-1
2,Noisification on before Attack Search,8191,224,8161,3,0,-1
2,Noisification on before Attack Search,8191,224,8161,3,0,-1
2,Noisification on before Attack Search,8191,224,8161,3,0,-1
2,Noisification on before Attack Search,8191,224,8161,4,1,-1
2,Noisification on before Attack Search,8191,224,8161,4,0,-1
2,Noisification on before Attack Search,8191,224,8161,4,0,-1
2,Noisification on before Attack Search,8191,224,8161,4,1,-1
2,Noisification on before Attack Search,8191,224,8161,4,1,-1
2,Noisification on before Attack Search,8191,224,8161,5,0,-1
2,Noisification on before Attack Search,8191,224,8161,5,0,-1
2,Noisification on before Attack Search,8191,224,8161,5,0,-1
2,Noisification on before Attack Search,8191,224,8161,5,1,-1
2,Noisification on before Attack Search,8191,224,8161,5,1,-1
3,Noisification on before Attack Search,8191,231,8170,1,1,-1
3,Noisification on before Attack Search,8191,231,8170,1,1,-1
3,Noisification on before Attack Search,8191,231,8170,1,1,-1
3,Noisification on before Attack Search,8191,231,8170,1,1,-1
3,Noisification on before Attack Search,8191,231,8170,1,1,-1
3,Noisification on before Attack Search,8191,231,8170,2,1,-1
3,Noisification on before Attack Search,8191,231,8170,2,1,-1
3,Noisification on before Attack Search,8191,231,8170,2,1,-1
3,Noisification on before Attack Search,8191,231,8170,2,1,-1
3,Noisification on before Attack Search,8191,231,8170,2,0,-1
3,Noisification on before Attack Search,8191,231,8170,3,1,-1
3,Noisification on before Attack Search,8191,231,8170,3,1,-1
3,Noisification on before Attack Search,8191,231,8170,3,1,-1
3,Noisification on before Attack Search,8191,231,8170,3,1,-1
3,Noisification on before Attack Search,8191,231,8170,3,1,-1
3,Noisification on before Attack Search,8191,231,8170,4,1,-1
3,Noisification on before Attack Search,8191,231,8170,4,0,-1
3,Noisification on before Attack Search,8191,231,8170,4,1,-1
3,Noisification on before Attack Search,8191,231,8170,4,1,-1
3,Noisification on before Attack Search,8191,231,8170,4,1,-1
3,Noisification on before Attack Search,8191,231,8170,5,1,-1
3,Noisification on before Attack Search,8191,231,8170,5,0,-1
3,Noisification on before Attack Search,8191,231,8170,5,1,-1
3,Noisification on before Attack Search,8191,231,8170,5,1,-1
3,Noisification on before Attack Search,8191,231,8170,5,1,-1
4,Noisification on before Attack Search,8192,200,8144,1,3,-1
4,Noisification on before Attack Search,8192,200,8144,1,79,-1
4,Noisification on before Attack Search,8192,200,8144,1,47,-1
4,Noisification on before Attack Search,8192,200,8144,1,72,-1
4,Noisification on before Attack Search,8192,200,8144,1,31,-1
4,Noisification on before Attack Search,8192,200,8144,2,2,-1
4,Noisification on before Attack Search,8192,200,8144,2,50,-1
4,Noisification on before Attack Search,8192,200,8144,2,96,-1
4,Noisification on before Attack Search,8192,200,8144,2,86,-1
4,Noisification on before Attack Search,8192,200,8144,2,26,-1
4,Noisification on before Attack Search,8192,200,8144,3,67,-1
4,Noisification on before Attack Search,8192,200,8144,3,42,-1
4,Noisification on before Attack Search,8192,200,8144,3,200,0
4,Noisification on before Attack Search,8192,200,8144,3,4,-1
4,Noisification on before Attack Search,8192,200,8144,3,92,-1
4,Noisification on before Attack Search,8192,200,8144,4,81,-1
4,Noisification on before Attack Search,8192,200,8144,4,11,-1
4,Noisification on before Attack Search,8192,200,8144,4,112,0
4,Noisification on before Attack Search,8192,200,8144,4,32,-1
4,Noisification on before Attack Search,8192,200,8144,4,34,-1
4,Noisification on before Attack Search,8192,200,8144,5,9,-1
4,Noisification on before Attack Search,8192,200,8144,5,126,8
4,Noisification on before Attack Search,8192,200,8144,5,24,-1
4,Noisification on before Attack Search,8192,200,8144,5,28,-1
4,Noisification on before Attack Search,8192,200,8144,5,27,-1
5,Noisification on before Attack Search,8192,227,8164,1,0,-1
5,Noisification on before Attack Search,8192,227,8164,1,1,-1
5,Noisification on before Attack Search,8192,227,8164,1,0,-1
5,Noisification on before Attack Search,8192,227,8164,1,0,-1
5,Noisification on before Attack Search,8192,227,8164,1,0,-1
5,Noisification on before Attack Search,8192,227,8164,2,0,-1
5,Noisification on before Attack Search,8192,227,8164,2,0,-1
5,Noisification on before Attack Search,8192,227,8164,2,1,-1
5,Noisification on before Attack Search,8192,227,8164,2,0,-1
5,Noisification on before Attack Search,8192,227,8164,2,0,-1
5,Noisification on before Attack Search,8192,227,8164,3,1,-1
5,Noisification on before Attack Search,8192,227,8164,3,0,-1
5,Noisification on before Attack Search,8192,227,8164,3,1,-1
5,Noisification on before Attack Search,8192,227,8164,3,0,-1
5,Noisification on before Attack Search,8192,227,8164,3,0,-1
5,Noisification on before Attack Search,8192,227,8164,4,0,-1
5,Noisification on before Attack Search,8192,227,8164,4,1,-1
5,Noisification on before Attack Search,8192,227,8164,4,0,-1
5,Noisification on before Attack Search,8192,227,8164,4,1,-1
5,Noisification on before Attack Search,8192,227,8164,4,1,-1
5,Noisification on before Attack Search,8192,227,8164,5,0,-1
5,Noisification on before Attack Search,8192,227,8164,5,0,-1
5,Noisification on before Attack Search,8192,227,8164,5,0,-1
5,Noisification on before Attack Search,8192,227,8164,5,1,-1
5,Noisification on before Attack Search,8192,227,8164,5,0,-1
6,Noisification on before Attack Search,8192,213,8178,1,0,-1
6,Noisification on before Attack Search,8192,213,8178,1,1,-1
6,Noisification on before Attack Search,8192,213,8178,1,0,-1
6,Noisification on before Attack Search,8192,213,8178,1,0,-1
6,Noisification on before Attack Search,8192,213,8178,1,0,-1
6,Noisification on before Attack Search,8192,213,8178,2,1,-1
6,Noisification on before Attack Search,8192,213,8178,2,1,-1
6,Noisification on before Attack Search,8192,213,8178,2,1,-1
6,Noisification on before Attack Search,8192,213,8178,2,0,-1
6,Noisification on before Attack Search,8192,213,8178,2,0,-1
6,Noisification on before Attack Search,8192,213,8178,3,1,-1
6,Noisification on before Attack Search,8192,213,8178,3,1,-1
6,Noisification on before Attack Search,8192,213,8178,3,1,-1
6,Noisification on before Attack Search,8192,213,8178,3,1,-1
6,Noisification on before Attack Search,8192,213,8178,3,1,-1
6,Noisification on before Attack Search,8192,213,8178,4,1,-1
6,Noisification on before Attack Search,8192,213,8178,4,1,-1
6,Noisification on before Attack Search,8192,213,8178,4,1,-1
6,Noisification on before Attack Search,8192,213,8178,4,1,-1
6,Noisification on before Attack Search,8192,213,8178,4,0,-1
6,Noisification on before Attack Search,8192,213,8178,5,1,-1
6,Noisification on before Attack Search,8192,213,8178,5,1,-1
6,Noisification on before Attack Search,8192,213,8178,5,1,-1
6,Noisification on before Attack Search,8192,213,8178,5,1,-1
6,Noisification on before Attack Search,8192,213,8178,5,1,-1
7,Noisification on before Attack Search,8192,216,8151,1,0,-1
7,Noisification on before Attack Search,8192,216,8151,1,1,-1
7,Noisification on before Attack Search,8192,216,8151,1,1,-1
7,Noisification on before Attack Search,8192,216,8151,1,1,-1
7,Noisification on before Attack Search,8192,216,8151,1,0,-1
7,Noisification on before Attack Search,8192,216,8151,2,1,-1
7,Noisification on before Attack Search,8192,216,8151,2,0,-1
7,Noisification on before Attack Search,8192,216,8151,2,1,-1
7,Noisification on before Attack Search,8192,216,8151,2,0,-1
7,Noisification on before Attack Search,8192,216,8151,2,1,-1
7,Noisification on before Attack Search,8192,216,8151,3,1,-1
7,Noisification on before Attack Search,8192,216,8151,3,0,-1
7,Noisification on before Attack Search,8192,216,8151,3,1,-1
7,Noisification on before Attack Search,8192,216,8151,3,1,-1
7,Noisification on before Attack Search,8192,216,8151,3,1,-1
7,Noisification on before Attack Search,8192,216,8151,4,0,-1
7,Noisification on before Attack Search,8192,216,8151,4,0,-1
7,Noisification on before Attack Search,8192,216,8151,4,1,-1
7,Noisification on before Attack Search,8192,216,8151,4,1,-1
7,Noisification on before Attack Search,8192,216,8151,4,1,-1
7,Noisification on before Attack Search,8192,216,8151,5,1,-1
7,Noisification on before Attack Search,8192,216,8151,5,0,-1
7,Noisification on before Attack Search,8192,216,8151,5,1,-1
7,Noisification on before Attack Search,8192,216,8151,5,1,-1
7,Noisification on before Attack Search,8192,216,8151,5,1,-1
8,Noisification on before Attack Search,8192,217,8169,1,1,-1
8,Noisification on before Attack Search,8192,217,8169,1,1,-1
8,Noisification on before Attack Search,8192,217,8169,1,0,-1
8,Noisification on before Attack Search,8192,217,8169,1,1,-1
8,Noisification on before Attack Search,8192,217,8169,1,0,-1
8,Noisification on before Attack Search,8192,217,8169,2,0,-1
8,Noisification on before Attack Search,8192,217,8169,2,1,-1
8,Noisification on before Attack Search,8192,217,8169,2,1,-1
8,Noisification on before Attack Search,8192,217,8169,2,1,-1
8,Noisification on before Attack Search,8192,217,8169,2,1,-1
8,Noisification on before Attack Search,8192,217,8169,3,0,-1
8,Noisification on before Attack Search,8192,217,8169,3,0,-1
8,Noisification on before Attack Search,8192,217,8169,3,1,-1
8,Noisification on before Attack Search,8192,217,8169,3,0,-1
8,Noisification on before Attack Search,8192,217,8169,3,0,-1
8,Noisification on before Attack Search,8192,217,8169,4,1,-1
8,Noisification on before Attack Search,8192,217,8169,4,1,-1
8,Noisification on before Attack Search,8192,217,8169,4,1,-1
8,Noisification on before Attack Search,8192,217,8169,4,0,-1
8,Noisification on before Attack Search,8192,217,8169,4,0,-1
8,Noisification on before Attack Search,8192,217,8169,5,1,-1
8,Noisification on before Attack Search,8192,217,8169,5,1,-1
8,Noisification on before Attack Search,8192,217,8169,5,0,-1
8,Noisification on before Attack Search,8192,217,8169,5,0,-1
8,Noisification on before Attack Search,8192,217,8169,5,0,-1
9,Noisification on before Attack Search,8192,222,8127,1,1,-1
9,Noisification on before Attack Search,8192,222,8127,1,0,-1
9,Noisification on before Attack Search,8192,222,8127,1,0,-1
9,Noisification on before Attack Search,8192,222,8127,1,1,-1
9,Noisification on before Attack Search,8192,222,8127,1,0,-1
9,Noisification on before Attack Search,8192,222,8127,2,0,-1
9,Noisification on before Attack Search,8192,222,8127,2,0,-1
9,Noisification on before Attack Search,8192,222,8127,2,0,-1
9,Noisification on before Attack Search,8192,222,8127,2,1,-1
9,Noisification on before Attack Search,8192,222,8127,2,1,-1
9,Noisification on before Attack Search,8192,222,8127,3,0,-1
9,Noisification on before Attack Search,8192,222,8127,3,0,-1
9,Noisification on before Attack Search,8192,222,8127,3,0,-1
9,Noisification on before Attack Search,8192,222,8127,3,1,-1
9,Noisification on before Attack Search,8192,222,8127,3,0,-1
9,Noisification on before Attack Search,8192,222,8127,4,1,-1
9,Noisification on before Attack Search,8192,222,8127,4,0,-1
9,Noisification on before Attack Search,8192,222,8127,4,1,-1
9,Noisification on before Attack Search,8192,222,8127,4,0,-1
9,Noisification on before Attack Search,8192,222,8127,4,1,-1
9,Noisification on before Attack Search,8192,222,8127,5,1,-1
9,Noisification on before Attack Search,8192,222,8127,5,0,-1
9,Noisification on before Attack Search,8192,222,8127,5,1,-1
9,Noisification on before Attack Search,8192,222,8127,5,0,-1
9,Noisification on before Attack Search,8192,222,8127,5,1,-1
10,Noisification on before Attack Search,8192,233,8158,1,0,-1
10,Noisification on before Attack Search,8192,233,8158,1,1,-1
10,Noisification on before Attack Search,8192,233,8158,1,0,-1
10,Noisification on before Attack Search,8192,233,8158,1,1,-1
10,Noisification on before Attack Search,8192,233,8158,1,0,-1
10,Noisification on before Attack Search,8192,233,8158,2,0,-1
10,Noisification on before Attack Search,8192,233,8158,2,1,-1
10,Noisification on before Attack Search,8192,233,8158,2,1,-1
10,Noisification on before Attack Search,8192,233,8158,2,1,-1
10,Noisification on before Attack Search,8192,233,8158,2,1,-1
10,Noisification on before Attack Search,8192,233,8158,3,0,-1
10,Noisification on before Attack Search,8192,233,8158,3,1,-1
10,Noisification on before Attack Search,8192,233,8158,3,1,-1
10,Noisification on before Attack Search,8192,233,8158,3,0,-1
10,Noisification on before Attack Search,8192,233,8158,3,1,-1
10,Noisification on before Attack Search,8192,233,8158,4,0,-1
10,Noisification on before Attack Search,8192,233,8158,4,1,-1
10,Noisification on before Attack Search,8192,233,8158,4,1,-1
10,Noisification on before Attack Search,8192,233,8158,4,1,-1
10,Noisification on before Attack Search,8192,233,8158,4,2,-1
10,Noisification on before Attack Search,8192,233,8158,5,2,-1
10,Noisification on before Attack Search,8192,233,8158,5,2,-1
10,Noisification on before Attack Search,8192,233,8158,5,1,-1
10,Noisification on before Attack Search,8192,233,8158,5,1,-1
10,Noisification on before Attack Search,8192,233,8158,5,1,-1
11,Noisification on before Attack Search,8192,199,8160,1,0,-1
11,Noisification on before Attack Search,8192,199,8160,1,1,-1
11,Noisification on before Attack Search,8192,199,8160,1,0,-1
11,Noisification on before Attack Search,8192,199,8160,1,1,-1
11,Noisification on before Attack Search,8192,199,8160,1,0,-1
11,Noisification on before Attack Search,8192,199,8160,2,1,-1
11,Noisification on before Attack Search,8192,199,8160,2,0,-1
11,Noisification on before Attack Search,8192,199,8160,2,1,-1
11,Noisification on before Attack Search,8192,199,8160,2,0,-1
11,Noisification on before Attack Search,8192,199,8160,2,0,-1
11,Noisification on before Attack Search,8192,199,8160,3,2,-1
11,Noisification on before Attack Search,8192,199,8160,3,1,-1
11,Noisification on before Attack Search,8192,199,8160,3,1,-1
11,Noisification on before Attack Search,8192,199,8160,3,0,-1
11,Noisification on before Attack Search,8192,199,8160,3,0,-1
11,Noisification on before Attack Search,8192,199,8160,4,1,-1
11,Noisification on before Attack Search,8192,199,8160,4,1,-1
11,Noisification on before Attack Search,8192,199,8160,4,0,-1
11,Noisification on before Attack Search,8192,199,8160,4,1,-1
11,Noisification on before Attack Search,8192,199,8160,4,0,-1
11,Noisification on before Attack Search,8192,199,8160,5,1,-1
11,Noisification on before Attack Search,8192,199,8160,5,0,-1
11,Noisification on before Attack Search,8192,199,8160,5,0,-1
11,Noisification on before Attack Search,8192,199,8160,5,0,-1
11,Noisification on before Attack Search,8192,199,8160,5,1,-1
12,Noisification on before Attack Search,8192,210,8140,1,0,-1
12,Noisification on before Attack Search,8192,210,8140,1,1,-1
12,Noisification on before Attack Search,8192,210,8140,1,1,-1
12,Noisification on before Attack Search,8192,210,8140,1,0,-1
12,Noisification on before Attack Search,8192,210,8140,1,0,-1
12,Noisification on before Attack Search,8192,210,8140,2,0,-1
12,Noisification on before Attack Search,8192,210,8140,2,0,-1
12,Noisification on before Attack Search,8192,210,8140,2,1,-1
12,Noisification on before Attack Search,8192,210,8140,2,0,-1
12,Noisification on before Attack Search,8192,210,8140,2,0,-1
12,Noisification on before Attack Search,8192,210,8140,3,1,-1
12,Noisification on before Attack Search,8192,210,8140,3,0,-1
12,Noisification on before Attack Search,8192,210,8140,3,0,-1
12,Noisification on before Attack Search,8192,210,8140,3,1,-1
12,Noisification on before Attack Search,8192,210,8140,3,0,-1
12,Noisification on before Attack Search,8192,210,8140,4,0,-1
12,Noisification on before Attack Search,8192,210,8140,4,0,-1
12,Noisification on before Attack Search,8192,210,8140,4,0,-1
12,Noisification on before Attack Search,8192,210,8140,4,1,-1
12,Noisification on before Attack Search,8192,210,8140,4,0,-1
12,Noisification on before Attack Search,8192,210,8140,5,0,-1
12,Noisification on before Attack Search,8192,210,8140,5,0,-1
12,Noisification on before Attack Search,8192,210,8140,5,1,-1
12,Noisification on before Attack Search,8192,210,8140,5,1,-1
12,Noisification on before Attack Search,8192,210,8140,5,1,-1
13,Noisification on before Attack Search,8192,206,8177,1,1,-1
13,Noisification on before Attack Search,8192,206,8177,1,1,-1
13,Noisification on before Attack Search,8192,206,8177,1,2,-1
13,Noisification on before Attack Search,8192,206,8177,1,0,-1
13,Noisification on before Attack Search,8192,206,8177,1,1,-1
13,Noisification on before Attack Search,8192,206,8177,2,1,-1
13,Noisification on before Attack Search,8192,206,8177,2,1,-1
13,Noisification on before Attack Search,8192,206,8177,2,0,-1
13,Noisification on before Attack Search,8192,206,8177,2,1,-1
13,Noisification on before Attack Search,8192,206,8177,2,0,-1
13,Noisification on before Attack Search,8192,206,8177,3,1,-1
13,Noisification on before Attack Search,8192,206,8177,3,1,-1
13,Noisification on before Attack Search,8192,206,8177,3,1,-1
13,Noisification on before Attack Search,8192,206,8177,3,0,-1
13,Noisification on before Attack Search,8192,206,8177,3,1,-1
13,Noisification on before Attack Search,8192,206,8177,4,0,-1
13,Noisification on before Attack Search,8192,206,8177,4,1,-1
13,Noisification on before Attack Search,8192,206,8177,4,1,-1
13,Noisification on before Attack Search,8192,206,8177,4,1,-1
13,Noisification on before Attack Search,8192,206,8177,4,0,-1
13,Noisification on before Attack Search,8192,206,8177,5,1,-1
13,Noisification on before Attack Search,8192,206,8177,5,1,-1
13,Noisification on before Attack Search,8192,206,8177,5,1,-1
13,Noisification on before Attack Search,8192,206,8177,5,1,-1
13,Noisification on before Attack Search,8192,206,8177,5,0,-1
14,Noisification on before Attack Search,8189,228,8170,1,2,-1
14,Noisification on before Attack Search,8189,228,8170,1,4,-1
14,Noisification on before Attack Search,8189,228,8170,1,0,-1
14,Noisification on before Attack Search,8189,228,8170,1,5,-1
14,Noisification on before Attack Search,8189,228,8170,1,0,-1
14,Noisification on before Attack Search,8189,228,8170,2,2,-1
14,Noisification on before Attack Search,8189,228,8170,2,1,-1
14,Noisification on before Attack Search,8189,228,8170,2,2,-1
14,Noisification on before Attack Search,8189,228,8170,2,0,-1
14,Noisification on before Attack Search,8189,228,8170,2,2,-1
14,Noisification on before Attack Search,8189,228,8170,3,4,-1
14,Noisification on before Attack Search,8189,228,8170,3,1,-1
14,Noisification on before Attack Search,8189,228,8170,3,9,-1
14,Noisification on before Attack Search,8189,228,8170,3,1,-1
14,Noisification on before Attack Search,8189,228,8170,3,1,-1
14,Noisification on before Attack Search,8189,228,8170,4,2,-1
14,Noisification on before Attack Search,8189,228,8170,4,2,-1
14,Noisification on before Attack Search,8189,228,8170,4,0,-1
14,Noisification on before Attack Search,8189,228,8170,4,1,-1
14,Noisification on before Attack Search,8189,228,8170,4,3,-1
14,Noisification on before Attack Search,8189,228,8170,5,10,-1
14,Noisification on before Attack Search,8189,228,8170,5,0,-1
14,Noisification on before Attack Search,8189,228,8170,5,1,-1
14,Noisification on before Attack Search,8189,228,8170,5,4,-1
14,Noisification on before Attack Search,8189,228,8170,5,3,-1
15,Noisification on before Attack Search,8192,194,8167,1,1,-1
15,Noisification on before Attack Search,8192,194,8167,1,1,-1
15,Noisification on before Attack Search,8192,194,8167,1,0,-1
15,Noisification on before Attack Search,8192,194,8167,1,1,-1
15,Noisification on before Attack Search,8192,194,8167,1,1,-1
15,Noisification on before Attack Search,8192,194,8167,2,1,-1
15,Noisification on before Attack Search,8192,194,8167,2,1,-1
15,Noisification on before Attack Search,8192,194,8167,2,1,-1
15,Noisification on before Attack Search,8192,194,8167,2,1,-1
15,Noisification on before Attack Search,8192,194,8167,2,1,-1
15,Noisification on before Attack Search,8192,194,8167,3,1,-1
15,Noisification on before Attack Search,8192,194,8167,3,1,-1
15,Noisification on before Attack Search,8192,194,8167,3,1,-1
15,Noisification on before Attack Search,8192,194,8167,3,0,-1
15,Noisification on before Attack Search,8192,194,8167,3,0,-1
15,Noisification on before Attack Search,8192,194,8167,4,1,-1
15,Noisification on before Attack Search,8192,194,8167,4,0,-1
15,Noisification on before Attack Search,8192,194,8167,4,0,-1
15,Noisification on before Attack Search,8192,194,8167,4,1,-1
15,Noisification on before Attack Search,8192,194,8167,4,1,-1
15,Noisification on before Attack Search,8192,194,8167,5,1,-1
15,Noisification on before Attack Search,8192,194,8167,5,1,-1
15,Noisification on before Attack Search,8192,194,8167,5,1,-1
15,Noisification on before Attack Search,8192,194,8167,5,1,-1
15,Noisification on before Attack Search,8192,194,8167,5,1,-1
16,Noisification on before Attack Search,8191,198,8161,1,2,-1
16,Noisification on before Attack Search,8191,198,8161,1,2,-1
16,Noisification on before Attack Search,8191,198,8161,1,9,-1
16,Noisification on before Attack Search,8191,198,8161,1,2,-1
16,Noisification on before Attack Search,8191,198,8161,1,3,-1
16,Noisification on before Attack Search,8191,198,8161,2,4,-1
16,Noisification on before Attack Search,8191,198,8161,2,1,-1
16,Noisification on before Attack Search,8191,198,8161,2,1,-1
16,Noisification on before Attack Search,8191,198,8161,2,0,-1
16,Noisification on before Attack Search,8191,198,8161,2,2,-1
16,Noisification on before Attack Search,8191,198,8161,3,1,-1
16,Noisification on before Attack Search,8191,198,8161,3,0,-1
16,Noisification on before Attack Search,8191,198,8161,3,1,-1
16,Noisification on before Attack Search,8191,198,8161,3,1,-1
16,Noisification on before Attack Search,8191,198,8161,3,1,-1
16,Noisification on before Attack Search,8191,198,8161,4,0,-1
16,Noisification on before Attack Search,8191,198,8161,4,3,-1
16,Noisification on before Attack Search,8191,198,8161,4,0,-1
16,Noisification on before Attack Search,8191,198,8161,4,1,-1
16,Noisification on before Attack Search,8191,198,8161,4,2,-1
16,Noisification on before Attack Search,8191,198,8161,5,4,-1
16,Noisification on before Attack Search,8191,198,8161,5,1,-1
16,Noisification on before Attack Search,8191,198,8161,5,1,-1
16,Noisification on before Attack Search,8191,198,8161,5,4,-1
16,Noisification on before Attack Search,8191,198,8161,5,1,-1
17,Noisification on before Attack Search,8192,212,8160,1,0,-1
17,Noisification on before Attack Search,8192,212,8160,1,1,-1
17,Noisification on before Attack Search,8192,212,8160,1,0,-1
17,Noisification on before Attack Search,8192,212,8160,1,1,-1
17,Noisification on before Attack Search,8192,212,8160,1,1,-1
17,Noisification on before Attack Search,8192,212,8160,2,0,-1
17,Noisification on before Attack Search,8192,212,8160,2,0,-1
17,Noisification on before Attack Search,8192,212,8160,2,1,-1
17,Noisification on before Attack Search,8192,212,8160,2,0,-1
17,Noisification on before Attack Search,8192,212,8160,2,0,-1
17,Noisification on before Attack Search,8192,212,8160,3,0,-1
17,Noisification on before Attack Search,8192,212,8160,3,1,-1
17,Noisification on before Attack Search,8192,212,8160,3,1,-1
17,Noisification on before Attack Search,8192,212,8160,3,1,-1
17,Noisification on before Attack Search,8192,212,8160,3,0,-1
17,Noisification on before Attack Search,8192,212,8160,4,0,-1
17,Noisification on before Attack Search,8192,212,8160,4,1,-1
17,Noisification on before Attack Search,8192,212,8160,4,0,-1
17,Noisification on before Attack Search,8192,212,8160,4,1,-1
17,Noisification on before Attack Search,8192,212,8160,4,2,-1
17,Noisification on before Attack Search,8192,212,8160,5,1,-1
17,Noisification on before Attack Search,8192,212,8160,5,0,-1
17,Noisification on before Attack Search,8192,212,8160,5,0,-1
17,Noisification on before Attack Search,8192,212,8160,5,0,-1
17,Noisification on before Attack Search,8192,212,8160,5,0,-1
18,Noisification on before Attack Search,8192,218,8159,1,1,-1
18,Noisification on before Attack Search,8192,218,8159,1,1,-1
18,Noisification on before Attack Search,8192,218,8159,1,3,-1
18,Noisification on before Attack Search,8192,218,8159,1,0,-1
18,Noisification on before Attack Search,8192,218,8159,1,0,-1
18,Noisification on before Attack Search,8192,218,8159,2,1,-1
18,Noisification on before Attack Search,8192,218,8159,2,0,-1
18,Noisification on before Attack Search,8192,218,8159,2,0,-1
18,Noisification on before Attack Search,8192,218,8159,2,1,-1
18,Noisification on before Attack Search,8192,218,8159,2,1,-1
18,Noisification on before Attack Search,8192,218,8159,3,0,-1
18,Noisification on before Attack Search,8192,218,8159,3,1,-1
18,Noisification on before Attack Search,8192,218,8159,3,1,-1
18,Noisification on before Attack Search,8192,218,8159,3,1,-1
18,Noisification on before Attack Search,8192,218,8159,3,1,-1
18,Noisification on before Attack Search,8192,218,8159,4,1,-1
18,Noisification on before Attack Search,8192,218,8159,4,1,-1
18,Noisification on before Attack Search,8192,218,8159,4,0,-1
18,Noisification on before Attack Search,8192,218,8159,4,0,-1
18,Noisification on before Attack Search,8192,218,8159,4,1,-1
